Leonard {'male': 1, 'female': 0, 'most_likely': 'male'}
Yrjänä {'male': 1, 'female': 0, 'most_likely': 'male'}
Apolonija {'male': 0, 'female': 1, 'most_likely': 'female'}
Mairwen {'male': 0, 'female': 1, 'most_likely': 'female'}
Karenza {'male': 0, 'female': 1, 'most_likely': 'female'}
Xara {'male': 0, 'female': 1, 'most_likely': 'female'}
Avdotya {'male': 0, 'female': 1, 'most_likely': 'female'}
Muirgen {'male': 0, 'female': 1, 'most_likely': 'female'}
Ignasi {'male': 1, 'female': 0, 'most_likely': 'male'}
Sawyl {'male': 1, 'female': 0, 'most_likely': 'male'}
Ganesha {'male': 1, 'female': 0, 'most_likely': 'male'}
Graziana {'male': 0, 'female': 1, 'most_likely': 'female'}
Lowri {'male': 0, 'female': 1, 'most_likely': 'female'}
Graziano {'male': 1, 'female': 0, 'most_likely': 'male'}
Efstathios {'male': 1, 'female': 0, 'most_likely': 'male'}
Tighearnach {'male': 1, 'female': 0, 'most_likely': 'male'}
Idwal {'male': 1, 'female': 0, 'most_likely': 'male'}
Norton {'male': 1, 'female': 0, 'most_likely': 'male'}
Haydn {'male': 1, 'female': 0, 'most_likely': 'male'}
Donát {'male': 1, 'female': 0, 'most_likely': 'male'}
Amias {'male': 1, 'female': 0, 'most_likely': 'male'}
Sulislaw {'male': 1, 'female': 0, 'most_likely': 'male'}
Olwin {'male': 0, 'female': 1, 'most_likely': 'female'}
Gunnvor {'male': 0, 'female': 1, 'most_likely': 'female'}
Seve {'male': 1, 'female': 0, 'most_likely': 'male'}
Rosheen {'male': 0, 'female': 1, 'most_likely': 'female'}
Aliz {'male': 0, 'female': 1, 'most_likely': 'female'}
Purdie {'male': 0, 'female': 1, 'most_likely': 'female'}
Bárbara {'male': 0, 'female': 1, 'most_likely': 'female'}
Reimund {'male': 1, 'female': 0, 'most_likely': 'male'}
Faruq {'male': 1, 'female': 0, 'most_likely': 'male'}
Jalmari {'male': 1, 'female': 0, 'most_likely': 'male'}
Cnut {'male': 1, 'female': 0, 'most_likely': 'male'}
'Isam {'male': 1, 'female': 0, 'most_likely': 'male'}
Orvokki {'male': 0, 'female': 1, 'most_likely': 'female'}
